type,name,dependencies_count,dependencies,header
PROCEDURE,change_book_zarib_name_in_project,0,,CREATE PROCEDURE change_book_zarib_name_in_project @code int
PROCEDURE,Change_Year_in_project,1,Change_Year_in_project,"CREATE PROCEDURE [dbo].[Change_Year_in_project] @code int , @delete_flag bit"
PROCEDURE,Change_Year_in_project,1,Change_Year_in_project,"CREATE PROCEDURE [dbo].[Change_Year_in_project] @code int , @delete_flag bit, @SrcPrjYear int = 0"
PROCEDURE,Change_Year_in_project,1,Change_Year_in_project,"CREATE PROCEDURE [dbo].[Change_Year_in_project] @code int , @delete_flag bit"
PROCEDURE,ChangeNufhCode,22,"ChangeNufhCode, brv_ader, brv_bgml, brv_dstb, brv_dstn_fromto, brv_dstn_fromto_rzmt, brv_dstn_main, brv_dstn_main_rzmt, brv_fhbh, brv_fhpy, brv_fhpy_Acts, brv_grop, brv_hmbs, brv_hmpy, brv_hmpy_rzmt, brv_khmt, brv_mult_acts, brv_nmmhb, brv_rzmt, brv_sorc, brv_sorc_acts, brv_tatbigh","CREATE PROCEDURE [dbo].[ChangeNufhCode] (@SrcID INT , @DestID INT , @DestAbst NVARCHAR(100) , @DestDscr NVARCHAR(500) ,"
PROCEDURE,CNV00_definitions,1,taksa_temp,CREATE PROCEDURE CNV00_definitions @year int
PROCEDURE,CNV02_unit_insert,0,,CREATE PROCEDURE CNV02_unit_insert @year int
PROCEDURE,CNV04_grop_dstb_hmbs_refinement,0,,CREATE PROCEDURE CNV04_grop_dstb_hmbs_refinement @year int
PROCEDURE,CNV04_grop_dstb_hmbs_refinement,0,,CREATE PROCEDURE CNV04_grop_dstb_hmbs_refinement @year int
PROCEDURE,CNV05_grop_insert,0,,CREATE PROCEDURE CNV05_grop_insert @year int
PROCEDURE,CNV06_grop_correction_hmbs_dstb,0,,CREATE PROCEDURE CNV06_grop_correction_hmbs_dstb @year int
PROCEDURE,CNV06_grop_correction_hmbs_dstb,0,,CREATE PROCEDURE CNV06_grop_correction_hmbs_dstb @year int
PROCEDURE,CNV07_sorc_nmmhb,0,,CREATE PROCEDURE CNV07_sorc_nmmhb @year int
PROCEDURE,CNV08_FOSI_update_all,1,CNV08_FOSI_update_all,CREATE PROCEDURE [dbo].[CNV08_FOSI_update_all]
PROCEDURE,CNV09_shkh_update_all,0,,CREATE PROCEDURE CNV09_shkh_update_all
PROCEDURE,copy_base_book,0,,"CREATE PROCEDURE copy_base_book (@year_source int,@year_dest int,@nufh int)"
PROCEDURE,copy_base_book,0,,"CREATE PROCEDURE copy_base_book (@year_source int,@year_dest int,@nufh int)"
PROCEDURE,copy_base_fasl,1,copy_base_fasl,"CREATE PROCEDURE [dbo].[copy_base_fasl] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int,@fasl_source nvarchar(100),@fasl_dest nvarchar(100),@zarib numeric(18,3))"
PROCEDURE,copy_base_fhbh,1,copy_base_fhbh,"CREATE PROCEDURE [dbo].[copy_base_fhbh] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int,@zarib numeric(18,3) , @SetNullPcun bit"
PROCEDURE,copy_base_fhbh,1,copy_base_fhbh,"CREATE PROCEDURE [dbo].[copy_base_fhbh] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int,@zarib numeric(18,3) , @SetNullPcun bit"
