type,name,dependencies_count,dependencies,header,category
PROCEDURE,dt_checkinobject,9,"dt_checkinobject, dt_displayoaerror, dt_getpropertiesbyid_vcs, dtproperties, sp_OACreate, sp_OAGetProperty, sp_OAMethod, viwBase1400, viwBase1401",create proc dbo.dt_checkinobject,نیازمند بررسی
PROCEDURE,dt_checkinobject_u,2,"dt_checkinobject, dt_checkinobject_u",create proc dbo.dt_checkinobject_u,نیازمند بررسی
PROCEDURE,dt_checkoutobject,7,"dt_checkoutobject, dt_displayoaerror, dt_getpropertiesbyid_vcs, dtproperties, sp_OACreate, sp_OAGetProperty, sp_OAMethod",create proc dbo.dt_checkoutobject,نیازمند بررسی
PROCEDURE,dt_checkoutobject_u,2,"dt_checkoutobject, dt_checkoutobject_u",create proc dbo.dt_checkoutobject_u,نیازمند بررسی
PROCEDURE,dt_displayoaerror,2,"dt_displayoaerror, sp_OAGetErrorInfo",CREATE PROCEDURE dbo.dt_displayoaerror,نیازمند بررسی
PROCEDURE,dt_displayoaerror_u,2,"dt_displayoaerror, dt_displayoaerror_u",CREATE PROCEDURE dbo.dt_displayoaerror_u,نیازمند بررسی
PROCEDURE,dt_droppropertiesbyid,2,"dt_droppropertiesbyid, dtproperties",create procedure dbo.dt_droppropertiesbyid,نیازمند بررسی
PROCEDURE,dt_dropuserobjectbyid,2,"dt_dropuserobjectbyid, dtproperties",create procedure dbo.dt_dropuserobjectbyid,نیازمند بررسی
PROCEDURE,dt_generateansiname,1,dt_generateansiname,create procedure dbo.dt_generateansiname(@name varchar(255) output),نیازمند بررسی
PROCEDURE,dt_getobjwithprop,2,"dt_getobjwithprop, dtproperties",create procedure dbo.dt_getobjwithprop,نیازمند بررسی
PROCEDURE,dt_getobjwithprop_u,2,"dt_getobjwithprop_u, dtproperties",create procedure dbo.dt_getobjwithprop_u,نیازمند بررسی
PROCEDURE,dt_getpropertiesbyid,2,"dt_getpropertiesbyid, dtproperties",create procedure dbo.dt_getpropertiesbyid,نیازمند بررسی
PROCEDURE,dt_getpropertiesbyid_u,3,"dt_getpropertiesbyid_u, dtproperties, the",create procedure dbo.dt_getpropertiesbyid_u,نیازمند بررسی
PROCEDURE,dt_getpropertiesbyid_vcs,2,"dt_getpropertiesbyid_vcs, dtproperties",create procedure dbo.dt_getpropertiesbyid_vcs,نیازمند بررسی
PROCEDURE,dt_getpropertiesbyid_vcs_u,2,"dt_getpropertiesbyid_vcs, dt_getpropertiesbyid_vcs_u",create procedure dbo.dt_getpropertiesbyid_vcs_u,نیازمند بررسی
PROCEDURE,dt_isundersourcecontrol,7,"dt_displayoaerror, dt_getpropertiesbyid_vcs, dt_isundersourcecontrol, dtproperties, sp_OACreate, sp_OAGetProperty, sp_OAMethod",create proc dbo.dt_isundersourcecontrol,نیازمند بررسی
PROCEDURE,dt_isundersourcecontrol_u,2,"dt_isundersourcecontrol, dt_isundersourcecontrol_u",create proc dbo.dt_isundersourcecontrol_u,نیازمند بررسی
PROCEDURE,dt_removefromsourcecontrol,3,"dt_droppropertiesbyid, dt_removefromsourcecontrol, dtproperties",create procedure dbo.dt_removefromsourcecontrol,نیازمند بررسی
PROCEDURE,dt_setpropertybyid,2,"dt_setpropertybyid, dtproperties",create procedure dbo.dt_setpropertybyid,نیازمند بررسی
PROCEDURE,dt_setpropertybyid_u,3,"dt_generateansiname, dt_setpropertybyid_u, dtproperties",create procedure dbo.dt_setpropertybyid_u,نیازمند بررسی
PROCEDURE,dt_validateloginparams,6,"dt_displayoaerror, dt_getpropertiesbyid_vcs, dt_validateloginparams, dtproperties, sp_OACreate, sp_OAMethod",create proc dbo.dt_validateloginparams,Utility / نرمال‌سازی مقدار
PROCEDURE,dt_validateloginparams_u,2,"dt_validateloginparams, dt_validateloginparams_u",create proc dbo.dt_validateloginparams_u,Utility / نرمال‌سازی مقدار
PROCEDURE,dt_vcsenabled,2,"dt_vcsenabled, sp_OACreate",create proc dbo.dt_vcsenabled,نیازمند بررسی
