source_file,tip_no,form_title,module_family,capability_summary,web_interpretation
tx_tips_svz.txt,4,آنالیزبها,آنالیز بها / منابع,آنالیز تمام ردیف های برگه مالی براساس عوامل چهارگانه نیروی انسانی، ماشین آلات، مصالح و حمل، به همراه درصدهای وزنی هر یک از منابع و عوامل وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,5,آنالیزبها,آنالیز بها / منابع,امکان مقایسه مبلغ آنالیزی و بهای واحد آیتم فهرست بها و نیز محاسبه درصد رشد این دو نسبت به هم وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,6,آنالیزبها,آنالیز بها / منابع,امکان آنالیز تمام ردیف های برگه مالی، 65% ، انتخابی، ستاره دارها و ... وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,7,آناليزبها,پیشنهاد / پیمان,امکان جایگزینی قیمت آنالیز شده با بهای پیشنهادی آیتم در برگه مالی ، وجود دارد .,ثبت پیشنهاد، ضرایب پیمان و اقلام پیمان
tx_tips_svz.txt,8,آنالیزبها و منابع,آنالیز بها / منابع,امکان فراخوانی قیمت های پایه از سه منابع سازمان مدیریت، مرکز آمار ایران، و همچنین قیمت روز وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,9,منابع,آنالیز بها / منابع,امکان مشاهده کل منابع موجود در پروژه براساس آنالیز و مقادیر آیتم ها در برگه مالی، وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,10,منابع,آنالیز بها / منابع,امکان مشاهده درصد وزنی هر عامل در یک پروژه وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,11,محاسبه کامل,عمومی / نامشخص,امکان محاسبه تمام فرم های سیستم به صورت یکباره، با توانایی اعمال هر نوع عملیات مختص خود فرم ها وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,12,تاخیرات,عمومی / نامشخص,محاسبه تاخیرات مربوط به تاخیر در پرداخت وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,13,زمان بندی,عمومی / نامشخص,رسم نمودار گانت هر فعالیت و زمانبندی آن در داخل خود برنامه با توجه به زیرردیف های هر فعالیت وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,14,انتقال,آنالیز بها / منابع,انتقال پروژه به MSP (برنامه کنترل پروژه) براساس آنالیزهای ردیف های پروژه وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,15,گزارشات,گزارش / چاپ,امکان ویرایش گزارشات در محیط Crystal Reports,خروجی قابل چاپ/PDF/Excel
tx_tips_svz.txt,16,گزارشات,گزارش / چاپ,امکان انتقال به برنامه های جانبی Word، Excel، Acrobat وجود دارد .,خروجی قابل چاپ/PDF/Excel
